CENTRAL DE CAMIONAGEM (IDA),LARGO DE CAMÕES (IDA),AV. DR. ALFR. SOUSA (MULTIUSOS),AV. DR. ALFREDO SOUSA (CTT),MEIA LARANJA,LARGO DR. JOÃO DE ALMEIDA,ESCOLA SECUNDÁRIA DA SÉ,AV. DR. EGAS MONIZ (TAMBOREIRA),LECLERC (IDA),ESCOLA RURAL,HOSPITAL,CALVILHE,CEPÕES (CRUZ.),BRITIANDE C. BARRO,BRITIANDE (FARMÁCIA),ZONA INDUSTRIAL,VÁRZEA DE ABRUNHAIS (EIRÓ),SANTO ALEIXO,FUNDO DE VILA (ESCOLA),ALVÉLOS,HOSPITAL,ESCOLA RURAL,LECLERC (VOLTA),BALSEMÃO (CRUZ.),LARGO DO CHAFARIZ,RUA DA CALÇADA,AV. DR. EGAS MONIZ (TAMBOREIRA),ESC. SEC. DA SÉ/R. DA CALÇADA,CASA DA LAVOURA,CASA DAS BROLHAS,LARGO DE CAMÕES (VOLTA),CENTRAL DE CAMIONAGEM (VOLTA),sabado
7:30,7:31,7:32,7:33,7:34,7:35,7:36,7:37,7:38,7:39,7:40,,,7:42,7:43,7:45,7:49,7:52,7:55,7:58,8:03,8:04,8:05,,,,8:06,8:07,8:08,8:09,8:10,8:11,0
8:30,8:31,8:32,8:33,8:34,8:35,8:36,8:37,8:38,8:39,8:40,,,,,,,,,,8:40,8:41,8:42,8:43,8:44,8:46,,,8:47,8:48,8:49,8:50,0
9:30,9:31,9:32,9:33,9:34,9:35,9:36,9:37,9:38,9:39,9:40,9:41,9:42,9:44,9:45,,,,,,9:49,9:50,9:51,9:52,9:53,9:55,,,9:56,9:57,9:58,9:59,0
12:15,12:16,12:17,12:18,12:19,12:20,12:21,12:22,12:23,12:24,12:25,12:26,12:27,12:29,12:30,12:32,12:36,12:39,12:42,12:45,12:50,12:51,12:52,,,,12:53,12:54,12:55,12:56,12:57,12:58,0
13:30,13:31,13:32,13:33,13:34,13:35,13:36,13:37,13:38,13:39,13:40,13:41,13:42,13:44,13:45,13:47,13:51,13:54,13:57,14:00,14:05,14:06,14:07,,,,14:08,14:09,14:10,14:11,14:12,14:13,0
16:30,16:31,16:32,16:33,16:34,16:35,16:36,16:37,16:38,16:39,16:40,,,,,,,,,,16:40,16:41,16:42,16:43,16:44,16:46,,,16:47,16:48,16:49,16:50,0
17:30,17:31,17:32,17:33,17:34,17:35,17:36,17:37,17:38,17:39,17:40,17:41,17:42,17:44,17:45,17:47,17:51,17:54,17:57,18:00,18:05,18:06,18:07,,,,18:08,18:09,18:10,18:11,18:12,18:13,0
18:30,18:31,18:32,18:33,18:34,18:35,18:36,18:37,18:38,18:39,18:40,,,,,,,,,,18:40,18:41,18:42,18:43,18:44,18:46,,,18:47,18:48,18:49,18:50,0
7:30,7:31,7:32,7:33,7:34,7:35,7:36,7:37,7:38,7:39,7:40,,,,,,,,,,7:40,7:41,7:42,7:43,7:44,7:46,,,7:47,7:48,7:49,7:50,1
9:30,9:31,9:32,9:33,9:34,9:35,9:36,9:37,9:38,9:39,9:40,,,,,,,,,,9:40,9:41,9:42,9:43,9:44,9:46,,,9:47,9:48,9:49,9:50,1
14:30,14:31,14:32,14:33,14:34,14:35,14:36,14:37,14:38,14:39,14:40,,,,,,,,,,14:40,14:41,14:42,14:43,14:44,14:46,,,14:47,14:48,14:49,14:50,1
15:30,15:31,15:32,15:33,15:34,15:35,15:36,15:37,15:38,15:39,15:40,,,,,,,,,,15:40,15:41,15:42,15:43,15:44,15:46,,,15:47,15:48,15:49,15:50,1